Scale WinShift FreqDiscr InitFreq(Hz) FinalFreq(Hz)   DicType    Decay      Rise 
XXXXX    XXXXX        XX  XXXXXXXXXX    XXXXXXXXXX       XX      XXXXX      XXXXX  
0.740        1         1  0000000000    9999999999        4       1.35       0.00 
0.750        1         1  0000000000    9999999999        4       1.33       0.00 
0.760        1         1  0000000000    9999999999        4       1.32       0.00 
0.770        1         1  0000000000    9999999999        4       1.30       0.00 
0.780        1         1  0000000000    9999999999        4       1.28       0.00 
0.790        1         1  0000000000    9999999999        4       1.27       0.00 
0.800        1         1  0000000000    9999999999        4       1.25       0.00 
0.810        1         1  0000000000    9999999999        4       1.23       0.00 
0.820        1         1  0000000000    9999999999        4       1.22       0.00 
0.830        1         1  0000000000    9999999999        4       1.20       0.00 
0.840        1         1  0000000000    9999999999        4       1.19       0.00 
0.850        1         1  0000000000    9999999999        4       1.18       0.00 
0.860        1         1  0000000000    9999999999        4       1.16       0.00 
0.870        1         1  0000000000    9999999999        4       1.15       0.00 
0.880        1         1  0000000000    9999999999        4       1.14       0.00 
0.890        1         1  0000000000    9999999999        4       1.12       0.00 
0.900        1         1  0000000000    9999999999        4       1.11       0.00 
1.000        1         1  0000000000    9999999999        4       1.00       0.00 
1.100        1         1  0000000000    9999999999        4       0.91       0.00 
1.200        1         1  0000000000    9999999999        4       0.83       0.00 
1.300        1         1  0000000000    9999999999        4       0.77       0.00 
1.400        1         1  0000000000    9999999999        4       0.71       0.00 
1.500        1         1  0000000000    9999999999        4       0.67       0.00 
1.600        1         1  0000000000    9999999999        4       0.63       0.00 
1.700        1         1  0000000000    9999999999        4       0.59       0.00 
1.800        1         1  0000000000    9999999999        4       0.56       0.00 
1.900        1         1  0000000000    9999999999        4       0.53       0.00 
2.000        1         1  0000000000    9999999999        4       0.50       0.00 
2.100        1         1  0000000000    9999999999        4       0.48       0.00 
2.200        1         1  0000000000    9999999999        4       0.45       0.00 
2.300        1         1  0000000000    9999999999        4       0.43       0.00 
2.400        1         1  0000000000    9999999999        4       0.42       0.00 
2.500        1         1  0000000000    9999999999        4       0.40       0.00 
2.600        1         1  0000000000    9999999999        4       0.38       0.00 
2.700        1         1  0000000000    9999999999        4       0.37       0.00 
2.800        1         1  0000000000    9999999999        4       0.36       0.00 
2.900        1         1  0000000000    9999999999        4       0.34       0.00 
3.000        1         1  0000000000    9999999999        4       0.33       0.00 
3.100        1         1  0000000000    9999999999        4       0.32       0.00 
3.200        1         1  0000000000    9999999999        4       0.31       0.00 
3.300        1         1  0000000000    9999999999        4       0.30       0.00 
3.400        1         1  0000000000    9999999999        4       0.29       0.00 
3.500        1         1  0000000000    9999999999        4       0.29       0.00 
3.600        1         1  0000000000    9999999999        4       0.28       0.00 
3.700        1         1  0000000000    9999999999        4       0.27       0.00 
3.800        1         1  0000000000    9999999999        4       0.26       0.00 
3.900        1         1  0000000000    9999999999        4       0.26       0.00 
4.000        1         1  0000000000    9999999999        4       0.25       0.00 
4.100        1         1  0000000000    9999999999        4       0.24       0.00 
4.200        1         1  0000000000    9999999999        4       0.24       0.00 
4.300        1         1  0000000000    9999999999        4       0.23       0.00 
4.400        1         1  0000000000    9999999999        4       0.23       0.00 
4.500        1         1  0000000000    9999999999        4       0.22       0.00 
4.600        1         1  0000000000    9999999999        4       0.22       0.00 
4.700        1         1  0000000000    9999999999        4       0.21       0.00 
4.800        1         1  0000000000    9999999999        4       0.21       0.00 
4.900        1         1  0000000000    9999999999        4       0.20       0.00 
5.000        1         1  0000000000    9999999999        4       0.20       0.00 
5.100        1         1  0000000000    9999999999        4       0.20       0.00 
5.200        1         1  0000000000    9999999999        4       0.19       0.00 
5.300        1         1  0000000000    9999999999        4       0.19       0.00 
5.400        1         1  0000000000    9999999999        4       0.19       0.00 
5.500        1         1  0000000000    9999999999        4       0.18       0.00 
5.600        1         1  0000000000    9999999999        4       0.18       0.00 
5.700        1         1  0000000000    9999999999        4       0.18       0.00 
5.800        1         1  0000000000    9999999999        4       0.17       0.00 
5.900        1         1  0000000000    9999999999        4       0.17       0.00 
6.000        1         1  0000000000    9999999999        4       0.17       0.00 
6.100        1         1  0000000000    9999999999        4       0.16       0.00 
6.200        1         1  0000000000    9999999999        4       0.16       0.00 
6.300        1         1  0000000000    9999999999        4       0.16       0.00 
6.400        1         1  0000000000    9999999999        4       0.16       0.00 
6.500        1         1  0000000000    9999999999        4       0.15       0.00 
6.600        1         1  0000000000    9999999999        4       0.15       0.00 
6.700        1         1  0000000000    9999999999        4       0.15       0.00 
6.800        1         1  0000000000    9999999999        4       0.15       0.00 
6.900        1         1  0000000000    9999999999        4       0.14       0.00 
7.000        1         1  0000000000    9999999999        4       0.14       0.00 
7.100        1         1  0000000000    9999999999        4       0.14       0.00 
7.200        1         1  0000000000    9999999999        4       0.14       0.00 
7.300        1         1  0000000000    9999999999        4       0.14       0.00 
7.400        1         1  0000000000    9999999999        4       0.14       0.00 
7.500        1         1  0000000000    9999999999        4       0.13       0.00 
7.600        1         1  0000000000    9999999999        4       0.13       0.00 
7.700        1         1  0000000000    9999999999        4       0.13       0.00 
7.800        1         1  0000000000    9999999999        4       0.13       0.00 
7.900        1         1  0000000000    9999999999        4       0.13       0.00 
8.000        1         1  0000000000    9999999999        4       0.13       0.00 
8.100        1         1  0000000000    9999999999        4       0.12       0.00 
8.200        1         1  0000000000    9999999999        4       0.12       0.00 
8.300        1         1  0000000000    9999999999        4       0.12       0.00 
8.400        1         1  0000000000    9999999999        4       0.12       0.00 
8.500        1         1  0000000000    9999999999        4       0.12       0.00 
8.600        1         1  0000000000    9999999999        4       0.12       0.00 
8.700        1         1  0000000000    9999999999        4       0.11       0.00 
8.800        1         1  0000000000    9999999999        4       0.11       0.00 
8.900        1         1  0000000000    9999999999        4       0.11       0.00 
9.000        1         1  0000000000    9999999999        4       0.11       0.00 
9.100        1         1  0000000000    9999999999        4       0.11       0.00 
9.200        1         1  0000000000    9999999999        4       0.11       0.00 
9.300        1         1  0000000000    9999999999        4       0.11       0.00 
9.400        1         1  0000000000    9999999999        4       0.11       0.00 
9.500        1         1  0000000000    9999999999        4       0.11       0.00 
9.600        1         1  0000000000    9999999999        4       0.10       0.00 
9.700        1         1  0000000000    9999999999        4       0.10       0.00 
9.800        1         1  0000000000    9999999999        4       0.10       0.00 
9.900        1         1  0000000000    9999999999        4       0.10       0.00 
10.00        1         1  0000000000    9999999999        4       0.10       0.00 
11.00        1         1  0000000000    9999999999        4       0.09       0.00 
12.00        1         1  0000000000    9999999999        4       0.08       0.00 
13.00        1         1  0000000000    9999999999        4       0.08       0.00 
14.00        1         1  0000000000    9999999999        4       0.07       0.00 
15.00        1         1  0000000000    9999999999        4       0.07       0.00 
16.00        1         1  0000000000    9999999999        4       0.06       0.00 
17.00        1         1  0000000000    9999999999        4       0.06       0.00 
18.00        1         1  0000000000    9999999999        4       0.06       0.00 
19.00        1         1  0000000000    9999999999        4       0.05       0.00 
20.00        1         1  0000000000    9999999999        4       0.05       0.00 
21.00        1         1  0000000000    9999999999        4       0.05       0.00 
22.00        1         1  0000000000    9999999999        4       0.05       0.00 
23.00        1         1  0000000000    9999999999        4       0.04       0.00 
24.00        1         1  0000000000    9999999999        4       0.04       0.00 
25.00        1         1  0000000000    9999999999        4       0.04       0.00 
26.00        1         1  0000000000    9999999999        4       0.04       0.00 
27.00        1         1  0000000000    9999999999        4       0.04       0.00 
28.00        1         1  0000000000    9999999999        4       0.04       0.00 
29.00        1         1  0000000000    9999999999        4       0.03       0.00 
30.00        1         1  0000000000    9999999999        4       0.03       0.00 
31.00        1         1  0000000000    9999999999        4       0.03       0.00 
32.00        1         1  0000000000    9999999999        4       0.03       0.00 
33.00        1         1  0000000000    9999999999        4       0.03       0.00 
34.00        1         1  0000000000    9999999999        4       0.03       0.00 
35.00        1         1  0000000000    9999999999        4       0.03       0.00 
36.00        1         1  0000000000    9999999999        4       0.03       0.00 
37.00        1         1  0000000000    9999999999        4       0.03       0.00 
38.00        1         1  0000000000    9999999999        4       0.03       0.00 
39.00        1         1  0000000000    9999999999        4       0.03       0.00 
40.00        1         1  0000000000    9999999999        4       0.03       0.00 
41.00        1         1  0000000000    9999999999        4       0.02       0.00 
42.00        1         1  0000000000    9999999999        4       0.02       0.00 
43.00        1         1  0000000000    9999999999        4       0.02       0.00 
44.00        1         1  0000000000    9999999999        4       0.02       0.00 
45.00        1         1  0000000000    9999999999        4       0.02       0.00 
46.00        1         1  0000000000    9999999999        4       0.02       0.00 
47.00        1         1  0000000000    9999999999        4       0.02       0.00 
48.00        1         1  0000000000    9999999999        4       0.02       0.00 
49.00        1         1  0000000000    9999999999        4       0.02       0.00 
50.00        1         1  0000000000    9999999999        4       0.02       0.00 
3.333        1         1  0000000000    9999999999        7       0.30       0.50 
3.333        1         1  0000000000    9999999999        7       0.30       0.80 
3.333        1         1  0000000000    9999999999        7       0.30       1.10 
3.333        1         1  0000000000    9999999999        7       0.30       1.40 
3.333        1         1  0000000000    9999999999        7       0.30       1.70 
3.333        1         1  0000000000    9999999999        7       0.30       2.00 
3.333        1         1  0000000000    9999999999        7       0.30       2.30 
3.333        1         1  0000000000    9999999999        7       0.30       2.60 
3.333        1         1  0000000000    9999999999        7       0.30       2.90 
1.111        1         1  0000000000    9999999999        7       0.90       0.50 
1.111        1         1  0000000000    9999999999        7       0.90       0.80 
1.111        1         1  0000000000    9999999999        7       0.90       1.10 
1.111        1         1  0000000000    9999999999        7       0.90       1.40 
1.111        1         1  0000000000    9999999999        7       0.90       1.70 
1.111        1         1  0000000000    9999999999        7       0.90       2.00 
1.111        1         1  0000000000    9999999999        7       0.90       2.30 
1.111        1         1  0000000000    9999999999        7       0.90       2.60 
1.111        1         1  0000000000    9999999999        7       0.90       2.90 
0.667        1         1  0000000000    9999999999        7       1.50       0.50 
0.667        1         1  0000000000    9999999999        7       1.50       0.80 
0.667        1         1  0000000000    9999999999        7       1.50       1.10 
0.667        1         1  0000000000    9999999999        7       1.50       1.40 
0.667        1         1  0000000000    9999999999        7       1.50       1.70 
0.667        1         1  0000000000    9999999999        7       1.50       2.00 
0.667        1         1  0000000000    9999999999        7       1.50       2.30 
0.667        1         1  0000000000    9999999999        7       1.50       2.60 
0.667        1         1  0000000000    9999999999        7       1.50       2.90 
0.476        1         1  0000000000    9999999999        7       2.10       0.50 
0.476        1         1  0000000000    9999999999        7       2.10       0.80 
0.476        1         1  0000000000    9999999999        7       2.10       1.10 
0.476        1         1  0000000000    9999999999        7       2.10       1.40 
0.476        1         1  0000000000    9999999999        7       2.10       1.70 
0.476        1         1  0000000000    9999999999        7       2.10       2.00 
0.476        1         1  0000000000    9999999999        7       2.10       2.30 
0.476        1         1  0000000000    9999999999        7       2.10       2.60 
0.476        1         1  0000000000    9999999999        7       2.10       2.90 
0.370        1         1  0000000000    9999999999        7       2.70       0.50 
0.370        1         1  0000000000    9999999999        7       2.70       0.80 
0.370        1         1  0000000000    9999999999        7       2.70       1.10 
0.370        1         1  0000000000    9999999999        7       2.70       1.40 
0.370        1         1  0000000000    9999999999        7       2.70       1.70 
0.370        1         1  0000000000    9999999999        7       2.70       2.00 
0.370        1         1  0000000000    9999999999        7       2.70       2.30 
0.370        1         1  0000000000    9999999999        7       2.70       2.60 
0.370        1         1  0000000000    9999999999        7       2.70       2.90 
10.00        1         1  0000000000    9999999999        8       0.10       1.00 
10.00        1         1  0000000000    9999999999        8       0.10       2.00 
10.00        1         1  0000000000    9999999999        8       0.10       3.00 
10.00        1         1  0000000000    9999999999        8       0.10       4.00 
10.00        1         1  0000000000    9999999999        8       0.10       5.00 
10.00        1         1  0000000000    9999999999        8       0.10       6.00 
10.00        1         1  0000000000    9999999999        8       0.10       7.00 
10.00        1         1  0000000000    9999999999        8       0.10       8.00 
10.00        1         1  0000000000    9999999999        8       0.10       9.00 
10.00        1         1  0000000000    9999999999        8       0.10      10.00 
10.00        1         1  0000000000    9999999999        8       0.10      11.00 
10.00        1         1  0000000000    9999999999        8       0.10      12.00 
10.00        1         1  0000000000    9999999999        8       0.10      13.00 
10.00        1         1  0000000000    9999999999        8       0.10      14.00 
10.00        1         1  0000000000    9999999999        8       0.10      15.00 
10.00        1         1  0000000000    9999999999        8       0.10      16.00 
10.00        1         1  0000000000    9999999999        8       0.10      17.00 
10.00        1         1  0000000000    9999999999        8       0.10      18.00 
5.000        1         1  0000000000    9999999999        8       0.20       1.00 
5.000        1         1  0000000000    9999999999        8       0.20       2.00 
5.000        1         1  0000000000    9999999999        8       0.20       3.00 
5.000        1         1  0000000000    9999999999        8       0.20       4.00 
5.000        1         1  0000000000    9999999999        8       0.20       5.00 
5.000        1         1  0000000000    9999999999        8       0.20       6.00 
5.000        1         1  0000000000    9999999999        8       0.20       7.00 
5.000        1         1  0000000000    9999999999        8       0.20       8.00 
5.000        1         1  0000000000    9999999999        8       0.20       9.00 
5.000        1         1  0000000000    9999999999        8       0.20      10.00 
5.000        1         1  0000000000    9999999999        8       0.20      11.00 
5.000        1         1  0000000000    9999999999        8       0.20      12.00 
5.000        1         1  0000000000    9999999999        8       0.20      13.00 
5.000        1         1  0000000000    9999999999        8       0.20      14.00 
5.000        1         1  0000000000    9999999999        8       0.20      15.00 
5.000        1         1  0000000000    9999999999        8       0.20      16.00 
5.000        1         1  0000000000    9999999999        8       0.20      17.00 
5.000        1         1  0000000000    9999999999        8       0.20      18.00 
3.333        1         1  0000000000    9999999999        8       0.30       1.00 
3.333        1         1  0000000000    9999999999        8       0.30       2.00 
3.333        1         1  0000000000    9999999999        8       0.30       3.00 
3.333        1         1  0000000000    9999999999        8       0.30       4.00 
3.333        1         1  0000000000    9999999999        8       0.30       5.00 
3.333        1         1  0000000000    9999999999        8       0.30       6.00 
3.333        1         1  0000000000    9999999999        8       0.30       7.00 
3.333        1         1  0000000000    9999999999        8       0.30       8.00 
3.333        1         1  0000000000    9999999999        8       0.30       9.00 
3.333        1         1  0000000000    9999999999        8       0.30      10.00 
3.333        1         1  0000000000    9999999999        8       0.30      11.00 
3.333        1         1  0000000000    9999999999        8       0.30      12.00 
3.333        1         1  0000000000    9999999999        8       0.30      13.00 
3.333        1         1  0000000000    9999999999        8       0.30      14.00 
3.333        1         1  0000000000    9999999999        8       0.30      15.00 
3.333        1         1  0000000000    9999999999        8       0.30      16.00 
3.333        1         1  0000000000    9999999999        8       0.30      17.00 
3.333        1         1  0000000000    9999999999        8       0.30      18.00 
2.500        1         1  0000000000    9999999999        8       0.40       1.00 
2.500        1         1  0000000000    9999999999        8       0.40       2.00 
2.500        1         1  0000000000    9999999999        8       0.40       3.00 
2.500        1         1  0000000000    9999999999        8       0.40       4.00 
2.500        1         1  0000000000    9999999999        8       0.40       5.00 
2.500        1         1  0000000000    9999999999        8       0.40       6.00 
2.500        1         1  0000000000    9999999999        8       0.40       7.00 
2.500        1         1  0000000000    9999999999        8       0.40       8.00 
2.500        1         1  0000000000    9999999999        8       0.40       9.00 
2.500        1         1  0000000000    9999999999        8       0.40      10.00 
2.500        1         1  0000000000    9999999999        8       0.40      11.00 
2.500        1         1  0000000000    9999999999        8       0.40      12.00 
2.500        1         1  0000000000    9999999999        8       0.40      13.00 
2.500        1         1  0000000000    9999999999        8       0.40      14.00 
2.500        1         1  0000000000    9999999999        8       0.40      15.00 
2.500        1         1  0000000000    9999999999        8       0.40      16.00 
2.500        1         1  0000000000    9999999999        8       0.40      17.00 
2.500        1         1  0000000000    9999999999        8       0.40      18.00 
2.000        1         1  0000000000    9999999999        8       0.50       1.00 
2.000        1         1  0000000000    9999999999        8       0.50       2.00 
2.000        1         1  0000000000    9999999999        8       0.50       3.00 
2.000        1         1  0000000000    9999999999        8       0.50       4.00 
2.000        1         1  0000000000    9999999999        8       0.50       5.00 
2.000        1         1  0000000000    9999999999        8       0.50       6.00 
2.000        1         1  0000000000    9999999999        8       0.50       7.00 
2.000        1         1  0000000000    9999999999        8       0.50       8.00 
2.000        1         1  0000000000    9999999999        8       0.50       9.00 
2.000        1         1  0000000000    9999999999        8       0.50      10.00 
2.000        1         1  0000000000    9999999999        8       0.50      11.00 
2.000        1         1  0000000000    9999999999        8       0.50      12.00 
2.000        1         1  0000000000    9999999999        8       0.50      13.00 
2.000        1         1  0000000000    9999999999        8       0.50      14.00 
2.000        1         1  0000000000    9999999999        8       0.50      15.00 
2.000        1         1  0000000000    9999999999        8       0.50      16.00 
2.000        1         1  0000000000    9999999999        8       0.50      17.00 
2.000        1         1  0000000000    9999999999        8       0.50      18.00 
1.667        1         1  0000000000    9999999999        8       0.60       1.00 
1.667        1         1  0000000000    9999999999        8       0.60       2.00 
1.667        1         1  0000000000    9999999999        8       0.60       3.00 
1.667        1         1  0000000000    9999999999        8       0.60       4.00 
1.667        1         1  0000000000    9999999999        8       0.60       5.00 
1.667        1         1  0000000000    9999999999        8       0.60       6.00 
1.667        1         1  0000000000    9999999999        8       0.60       7.00 
1.667        1         1  0000000000    9999999999        8       0.60       8.00 
1.667        1         1  0000000000    9999999999        8       0.60       9.00 
1.667        1         1  0000000000    9999999999        8       0.60      10.00 
1.667        1         1  0000000000    9999999999        8       0.60      11.00 
1.667        1         1  0000000000    9999999999        8       0.60      12.00 
1.667        1         1  0000000000    9999999999        8       0.60      13.00 
1.667        1         1  0000000000    9999999999        8       0.60      14.00 
1.667        1         1  0000000000    9999999999        8       0.60      15.00 
1.667        1         1  0000000000    9999999999        8       0.60      16.00 
1.667        1         1  0000000000    9999999999        8       0.60      17.00 
1.667        1         1  0000000000    9999999999        8       0.60      18.00 
1.429        1         1  0000000000    9999999999        8       0.70       1.00 
1.429        1         1  0000000000    9999999999        8       0.70       2.00 
1.429        1         1  0000000000    9999999999        8       0.70       3.00 
1.429        1         1  0000000000    9999999999        8       0.70       4.00 
1.429        1         1  0000000000    9999999999        8       0.70       5.00 
1.429        1         1  0000000000    9999999999        8       0.70       6.00 
1.429        1         1  0000000000    9999999999        8       0.70       7.00 
1.429        1         1  0000000000    9999999999        8       0.70       8.00 
1.429        1         1  0000000000    9999999999        8       0.70       9.00 
1.429        1         1  0000000000    9999999999        8       0.70      10.00 
1.429        1         1  0000000000    9999999999        8       0.70      11.00 
1.429        1         1  0000000000    9999999999        8       0.70      12.00 
1.429        1         1  0000000000    9999999999        8       0.70      13.00 
1.429        1         1  0000000000    9999999999        8       0.70      14.00 
1.429        1         1  0000000000    9999999999        8       0.70      15.00 
1.429        1         1  0000000000    9999999999        8       0.70      16.00 
1.429        1         1  0000000000    9999999999        8       0.70      17.00 
1.429        1         1  0000000000    9999999999        8       0.70      18.00 
1.250        1         1  0000000000    9999999999        8       0.80       1.00 
1.250        1         1  0000000000    9999999999        8       0.80       2.00 
1.250        1         1  0000000000    9999999999        8       0.80       3.00 
1.250        1         1  0000000000    9999999999        8       0.80       4.00 
1.250        1         1  0000000000    9999999999        8       0.80       5.00 
1.250        1         1  0000000000    9999999999        8       0.80       6.00 
1.250        1         1  0000000000    9999999999        8       0.80       7.00 
1.250        1         1  0000000000    9999999999        8       0.80       8.00 
1.250        1         1  0000000000    9999999999        8       0.80       9.00 
1.250        1         1  0000000000    9999999999        8       0.80      10.00 
1.250        1         1  0000000000    9999999999        8       0.80      11.00 
1.250        1         1  0000000000    9999999999        8       0.80      12.00 
1.250        1         1  0000000000    9999999999        8       0.80      13.00 
1.250        1         1  0000000000    9999999999        8       0.80      14.00 
1.250        1         1  0000000000    9999999999        8       0.80      15.00 
1.250        1         1  0000000000    9999999999        8       0.80      16.00 
1.250        1         1  0000000000    9999999999        8       0.80      17.00 
1.250        1         1  0000000000    9999999999        8       0.80      18.00 
1.111        1         1  0000000000    9999999999        8       0.90       1.00 
1.111        1         1  0000000000    9999999999        8       0.90       2.00 
1.111        1         1  0000000000    9999999999        8       0.90       3.00 
1.111        1         1  0000000000    9999999999        8       0.90       4.00 
1.111        1         1  0000000000    9999999999        8       0.90       5.00 
1.111        1         1  0000000000    9999999999        8       0.90       6.00 
1.111        1         1  0000000000    9999999999        8       0.90       7.00 
1.111        1         1  0000000000    9999999999        8       0.90       8.00 
1.111        1         1  0000000000    9999999999        8       0.90       9.00 
1.111        1         1  0000000000    9999999999        8       0.90      10.00 
1.111        1         1  0000000000    9999999999        8       0.90      11.00 
1.111        1         1  0000000000    9999999999        8       0.90      12.00 
1.111        1         1  0000000000    9999999999        8       0.90      13.00 
1.111        1         1  0000000000    9999999999        8       0.90      14.00 
1.111        1         1  0000000000    9999999999        8       0.90      15.00 
1.111        1         1  0000000000    9999999999        8       0.90      16.00 
1.111        1         1  0000000000    9999999999        8       0.90      17.00 
1.111        1         1  0000000000    9999999999        8       0.90      18.00 
1.000        1         1  0000000000    9999999999        8       1.00       1.00 
1.000        1         1  0000000000    9999999999        8       1.00       2.00 
1.000        1         1  0000000000    9999999999        8       1.00       3.00 
1.000        1         1  0000000000    9999999999        8       1.00       4.00 
1.000        1         1  0000000000    9999999999        8       1.00       5.00 
1.000        1         1  0000000000    9999999999        8       1.00       6.00 
1.000        1         1  0000000000    9999999999        8       1.00       7.00 
1.000        1         1  0000000000    9999999999        8       1.00       8.00 
1.000        1         1  0000000000    9999999999        8       1.00       9.00 
1.000        1         1  0000000000    9999999999        8       1.00      10.00 
1.000        1         1  0000000000    9999999999        8       1.00      11.00 
1.000        1         1  0000000000    9999999999        8       1.00      12.00 
1.000        1         1  0000000000    9999999999        8       1.00      13.00 
1.000        1         1  0000000000    9999999999        8       1.00      14.00 
1.000        1         1  0000000000    9999999999        8       1.00      15.00 
1.000        1         1  0000000000    9999999999        8       1.00      16.00 
1.000        1         1  0000000000    9999999999        8       1.00      17.00 
1.000        1         1  0000000000    9999999999        8       1.00      18.00 
99999
